program,url,region,payout_model,rate_raw,rate_source_url,niche,min_payout,payout_methods,source_date,scout_flags,status,credibility_score,risk_flags,analyst_verdict,decision,result_class
"Green Man Gaming Affiliate Program","https://www.greenmangaming.com/affiliates/","Global (incl. US)","CPS","5% с продажи новому клиенту, 2% с продажи постоянному клиенту (по данным вторичных источников); отдельно упоминается до 10% на бандлы GMG — не подтверждено офиц. страницей напрямую","https://getlasso.co/affiliate/green-man-gaming/; https://linkclicky.com/affiliate-program/green-man-gaming/","Гейминг/подписки","$50 для получения выплаты, cookie 30 дней (по данным агрегаторов, не подтверждено офиц.)","PayPal, банковский перевод (по данным агрегаторов)","2026-09-21","разброс ставок 2-5% между источниками; офиц. страница https://www.greenmangaming.com/affiliates/ не проверена напрямую из-за egress; не recurring (разовые продажи игр/ключей)","new","","","","",""
"Fanatical Affiliate Program (via Awin)","https://ui.awin.com/merchant-profile/118821","Global (incl. US)","CPS","2% за каждый успешный реферал (официальный FAQ support.fanatical.com); отдельные агрегаторы указывают разброс 5-12%, что не подтверждено офиц. FAQ","https://support.fanatical.com/hc/en-us/articles/360001415777-Affiliate-Partner-FAQ; https://getlasso.co/affiliate/fanatical/","Гейминг/подписки","не найдено","через сеть Awin (конкретные способы вывода не найдены)","2026-09-21","работает через Awin (merchant 118821); cookie 30 дней по агрегаторам (не подтверждено офиц.); регистрация http://fant.cl/affjoin (стандарт) и http://fant.cl/tf (для стримеров); не recurring","new","","","","",""
"Humble Bundle Affiliate / Partner Program (via Impact)","https://www.humblebundle.com/","Global (incl. US)","CPS","8% за продажу — наиболее часто цитируемый показатель; отдельные агрегаторы указывают разброс 4-15%, единого офиц. значения не найдено","https://taprefer.com/humble-bundle-affiliate-program/humble-bundle/; https://getlasso.co/affiliate/humble-bundle/","Гейминг/подписки","$25 (по данным getlasso, не подтверждено офиц.)","через сеть Impact (конкретные способы вывода не уточнены)","2026-09-21","прямая офиц. страница affiliate-программы не найдена (возможен эффект egress); работает через сеть Impact; cookie указан противоречиво (7 или 30 дней в разных источниках); не recurring; правила запрещают использовать товарные знаки Humble Bundle в промо-материалах","new","","","","",""
"Instant Gaming Affiliate Program","https://www.instant-gaming.com/en/partnership/","Global (incl. US, EU)","CPS","3% с продажи (по данным cuelinks/topranked); отдельный источник указывает EUR 0.06-0.12 за клик — вероятно другая метрика/сеть, точную единую ставку согласовать не удалось","https://www.cuelinks.com/campaigns/instant-gaming-affiliate-program; https://topranked.io/all-listings/instant-gaming-affiliate-program/","Гейминг/подписки","не найдено","не найдено","2026-09-21","в одном источнике cookie указан как всего 24 часа (короткое окно, риск потери конверсии); низкие цены магазина => низкая база для % комиссии; офиц. страница https://www.instant-gaming.com/en/partnership/ не проверена напрямую (egress); не recurring","new","","","","",""
"CDKeys Affiliate Program","https://www.cdkeys.com/","Global (несколько сетей, включая отдельную MENA-версию)","CPS","5% с продажи новому клиенту / 2% постоянному клиенту (getlasso, taprefer); также встречаются отдельные значения 3.6% и 5% в разных сетях (cuelinks, inrdeals) — разброс между сетями","https://getlasso.co/affiliate/cdkeys/; https://www.cuelinks.com/campaigns/cdkeys-affiliate-program; https://inrdeals.com/campaigns/cdkeys-affiliate-program","Гейминг/подписки","порог $10 упоминается у одного источника (не подтверждено офиц.)","не найдено","2026-09-21","программа доступна одновременно через несколько сетей (Impact, Admitad и др.) с разными ставками — уточнять при регистрации в конкретной сети; офиц. страница не проверена напрямую (egress); cookie 30 дней (по агрегатору); не recurring; ключи закупаются у сторонних продавцов — умеренный репутационный риск по сравнению с официальными магазинами","new","","","","",""
"Kinguin Mafia Affiliate Program","https://affiliate.kinguin.net/merchants/home.php","Global (incl. US)","CPS","5% с продажи новому клиенту, 2.5% с продажи постоянному клиенту (getlasso, uppromote); отдельные источники указывают более широкий разброс 2-10%","https://getlasso.co/affiliate/kinguin/; https://uppromote.com/affiliate-directory/kinguin/","Гейминг/подписки","€30 для вывода на PayPal, €100 для банковского перевода (по данным трекеров, не подтверждено офиц.)","PayPal, банковский перевод","2026-09-21","ПОДОЗРИТЕЛЬНО/РЕПУТАЦИОННЫЙ РИСК: Kinguin — маркетплейс ключей от сторонних продавцов (в т.ч. серый рынок/OEM-ключи), в индустрии известны жалобы на забаненные/невалидные ключи — репутационный риск при промо под своим именем; офиц. страница не проверена напрямую (egress); не recurring","new","","","","",""
"Razer Affiliate Program","https://www.razer.com/affiliate","Global (incl. US)","CPS","до 15% на продукты Razer согласно офиц. странице; детализация по категориям (вторичный источник, не подтверждена офиц. страницей напрямую из-за egress): 3% Peripherals, $5/unit Systems, $5/unit Mobiles, 10% Respawn","https://www.razer.com/affiliate; https://getlasso.co/affiliate/razer/","Гейминг/подписки (периферия/железо)","не найдено","не найдено","2026-09-21","продажи фиксируются («lock») через 1 мес. 15 дней после месяца продажи, выплата — через 23 дня после закрытия периода (вторичный источник); участие бесплатное, без вступительного взноса; не recurring (разовые продажи железа)","new","","","","",""
"Logitech G Affiliate / Partner Program","https://www.logitech.com/en-us/promo/affiliate-program.html","Global (incl. US); отдельно EMEA через Awin","CPS","5% базовая ставка по нескольким агрегаторам; отдельные источники указывают 7.5% с cookie 1 день либо 4% базовая ставка + до 10% на отдельные игровые продукты — данные противоречивы, офиц. страница точный % не раскрывает напрямую","https://cloudzat.com/logitech-affiliate-program/; http://app.impact.com/campaign-campaign-info-v2/Logitech-G.brand","Гейминг/подписки (периферия/железо)","не найдено","не найдено","2026-09-21","программа управляется через несколько сетей одновременно (Impact — Logitech G Partner Program, Awin — EMEA, а также Sovrn и др.) — ставки и cookie отличаются по сети; cookie указан противоречиво (от 1 до 30 дней в разных источниках); не recurring","new","","","","",""
"NVIDIA Affiliate Program (охватывает GeForce NOW)","https://www.nvidia.com/en-us/affiliates/","Global (incl. US)","CPS (recurring для GeForce NOW не подтверждён)","5% комиссия, cookie 30 дней, через сеть Rakuten Advertising; является гипотезой, что это разовая (one-time) комиссия за продажу/подписку, а НЕ recurring revenue share по месяцам GeForce NOW — явного офиц. заявления об этом не найдено","https://getlasso.co/affiliate/nvidia/; https://marketplace.referly.so/affiliate-programs/nvidia; https://www.nvidia.com/en-us/affiliates/","Гейминг/подписки (облачный гейминг — ПОТЕНЦИАЛЬНО RECURRING)","не найдено","не найдено","2026-09-21","RECURRING НЕ ПОДТВЕРЖДЁН: GeForce NOW — подписочный сервис, интересен для recurring дохода, но найденные источники описывают программу NVIDIA как разовую CPS-комиссию 5% без явного упоминания recurring именно для подписок GeForce NOW; требуется уточнение в сети Rakuten при регистрации; офиц. страница не проверена напрямую (egress)","new","","","","",""
"Xbox Game Pass / Microsoft Store Affiliate Program (через CJ Affiliate / FlexOffers / Rakuten)","https://www.flexoffers.com/affiliate-programs/microsoft-affiliate-program/","Global (incl. US)","гибрид CPS/CPL (recurring не подтверждён)","фиксированные выплаты за оформление подписки: $1.30 за Xbox Game Pass PC, $1.50 за Xbox Game Pass Ultimate (один источник); также встречается 2% CPS на Xbox Game Pass for Console/Xbox Live Gold и до 7-8% на прочие товары Microsoft Store в других источниках — единой офиц. таблицы ставок не найдено; похоже на разовый CPL/CPA за оформление подписки","https://commissiondex.com/alternatives/xbox-game-pass/; https://algo-affiliates.com/online-games-affiliate-programs/","Гейминг/подписки (подписка на игры — ПОТЕНЦИАЛЬНО RECURRING)","не найдено","не найдено","2026-09-21","RECURRING НЕ ПОДТВЕРЖДЁН: судя по найденным данным, программа платит разовый фиксированный CPL за оформление подписки ($1.30-$1.50), а не recurring revenue share за каждый месяц продления — требует уточнения в конкретной сети (CJ Affiliate/FlexOffers/Rakuten); программа управляется через несколько сетей одновременно с разными ставками; офиц. страница Microsoft/Xbox affiliate не проверена напрямую (egress)","new","","","","",""
