program,url,region,payout_model,rate_raw,rate_source_url,niche,min_payout,payout_methods,source_date,scout_flags,status,credibility_score,risk_flags,analyst_verdict,decision,result_class
WHOOP Affiliate Program,https://www.whoop.com/affiliate/,US (программа глобальная через Impact/Skimlinks; в объявлениях фокус на США),CPA (за подписку/membership; recurring не подтверждено),"Точный % или $ не найден в открытых источниках. По вторичным данным: фиксированная CPA-выплата за каждую новую WHOOP membership, программа работает через Impact Radius и Skimlinks; упоминается предложение «один бесплатный месяц» на 12/24-мес. membership как промо для рефералов. Не подтверждено офиц.","https://uppromote.com/affiliate-directory/whoop/; https://danielproctor.com/whoop-affiliate-program-review/; https://www.whoop.com/affiliate/","Фитнес/здоровье (носимый девайс + подписка)",не найдено,"не найдено (упоминается «direct deposit» на вторичных сайтах, не подтверждено офиц.)",2026-09-21,"ставка не раскрыта публично; официальный домен whoop.com недоступен для проверки (egress); не подтверждено офиц.",new,,,,,
Noom Affiliate Program,https://shareasale.com/shareASale_b.cfm?merchantId=67359&storeId=0,US (also UK; сеть Impact/ShareASale),CPA (гибрид: за trial/новую подписку + бонусы),"$30 CPA за нового клиента (продажа) + $5 бонус за каждую новую продажу в первые 60 дней + $75 бонус за 10 новых клиентов в месяц; по другим вторичным источникам — плоская CPA $10-15 за trial signup (условия настраиваются в Impact и не публикуются полностью на сайте). Cookie 30 дней.","https://uppromote.com/affiliate-directory/noom/; https://indoleads.com/blog/new-offer-launched-noom-affiliate-program/","Фитнес/здоровье — похудение (высокий CPA)",$100 (порог выплаты на платформе Impact по данным агрегатора),"не найдено точно (Impact/ShareASale — обычно ACH/PayPal, не подтверждено офиц.)",2026-09-21,"YMYL: тема похудения — в контенте запрещены обещания результата/медицинские заявления; цифры из агрегаторов, не с офиц. сайта Noom (egress); высокий CPA — приоритетный кандидат",new,,,,,
Future (Future.co) Coaching Affiliate Program,https://www.future.co,US (Impact network),CPA (flat, за подписку/signup),"$75 за один successful signup (flat CPA), атрибуция окна клика — упоминается 24 часа в одном источнике; управляется через платформу Impact.",https://linkclicky.com/affiliate-program/future/,"Фитнес/здоровье — персональный коучинг (высокий CPA)",не найдено,не найдено,2026-09-21,"высокий CPA — приоритетный кандидат; официальный домен future.co не проверен напрямую (egress), ставка со вторичного агрегатора linkclicky, не подтверждено офиц.; путать с другой компанией 'Future Fitness Training' (futurefitness.training) нельзя — это разные программы",new,,,,,
Fitbod Affiliate Program,https://www.fitbod.me,Global/US (упоминается в нескольких affiliate-каталогах),не найдено (модель не раскрыта в найденных источниках),"не найдено — ни % ни фикс. сумма не встретились в открытых источниках (getlasso, wellnesscreatives, uppromote, tapfiliate упоминают Fitbod в списках, но без конкретной ставки)","https://getlasso.co/niche/fitness/; https://www.wellnesscreatives.com/fitness-affiliate-programs/","Фитнес — тренировочное приложение (подписка)",не найдено,не найдено,2026-09-21,"ставка не найдена — нужна доп. проверка через личный кабинет партнёра; egress блокирует fitbod.me и агрегаторы для прямой проверки",new,,,,,
Centr (Chris Hemsworth) — Centr Strength Society,https://centr.com/p/centr-strength-society,Global (программа на Awin, merchant id 60093),не найдено (CPA/RevShare не уточнено),"Точная ставка не раскрыта в найденных источниках. Известно: партнёр получает персональную ссылку + промокод, «earn with every sign-up», плюс бонус в виде 12-месячной membership Centr при вступлении в программу. Модель оплаты (% или flat) не подтверждена.","https://ui.awin.com/merchant-profile/60093; https://centr.com/p/centr-strength-society","Фитнес/здоровье — тренировки+питание (подписка, знаменитость Chris Hemsworth)",не найдено,не найдено (сеть Awin),2026-09-21,"ставка не раскрыта; Awin merchant-профиль недоступен для проверки (egress); есть отдельный листинг у Adscend Media (iOS US) — возможно другая, менее надёжная программа-двойник, помечаю для отдельной проверки аналитиком",new,,,,,
Freeletics Affiliate Program (Awin),https://help.freeletics.com/hc/en-us/articles/360018247640-Affiliate-Program,"EU (найден отдельный листинг 'Freeletics Brand Partnerships EU' на Awin); распространение на US не подтверждено",CPA/CPS (за тренировочные планы/подписки, ставка не раскрыта публично),"Ставка не публикуется — по описанию «разные тиры и модели компенсации под разных партнёров», уточняется после подачи заявки. Cookie 30 дней. Есть бонусы за объём/качество трафика.","https://www.flexoffers.com/affiliate-programs/freeletics-affiliate-program/; https://app.hienergyrocket.com/a/freeletics-brand-partnerships-eu-hienergy-awin","Фитнес — тренировочные планы (подписка)",не найдено,не найдено (сеть Awin),2026-09-21,"регион в основном EU, для US-фокуса нужна доп.проверка; точная ставка не подтверждена; официальный help-центр freeletics.com недоступен для прямой проверки (egress)",new,,,,,
Ladder (joinladder.com),https://www.joinladder.com/referral,US,"не найдено — обнаружена только программа 'Refer a friend' (реферальная, не партнёрская с денежной выплатой)","Публично найдена только реферальная программа для друзей (скидки), а не платная affiliate-программа с комиссией. Листинги на FlexOffers/getlasso упоминают Ladder в общих списках без конкретных цифр ставки.","https://www.flexoffers.com/affiliate-programs/ladder-affiliate-program/; https://www.joinladder.com/referral","Фитнес — тренировочное приложение (подписка)",не найдено,не найдено,2026-09-21,"не найдено: похоже, у Ladder нет полноценной денежной affiliate-программы (только referral для друзей) — под вопросом для аналитика; возможна путаница с другими брендами 'Ladder' (страхование, спортпит Ladder LeBron James/Schwarzenegger) — это НЕ они",new,,,,,
Caliber (Online Personal Training) Affiliate Program,https://www.flexoffers.com/affiliate-programs/caliber-online-personal-training-affiliate-program/,US,CPA/RevShare (не уточнено),"Точная ставка не раскрыта в найденных источниках. Известно: cookie-окно 60 дней; вторичный источник (impact.com blog) отмечает, что высокая цена 1-на-1 коучинга «оправдывает более крупные комиссии», но без цифр.","https://www.flexoffers.com/affiliate-programs/caliber-online-personal-training-affiliate-program/; https://impact.com/affiliate/fitness-affiliate-programs/","Фитнес/здоровье — 1-на-1 онлайн-коучинг (подписка, премиум-цена)",не найдено,не найдено,2026-09-21,"ставка не найдена; FlexOffers указывает, что листинг программы сейчас не активен на их платформе — требуется проверка актуальности",new,,,,,
MyFitnessPal Premium Affiliate Program,https://www.accelerationpartners.com/affiliate-programs/myfitnesspal/,US,CPA (flat, за годовую/месячную подписку Premium),"До $20 за годовую подписку Premium; по отдельной 'Hub'-версии программы — $5 за годовую и $2 за месячную подписку (детали второй схемы неясны). Cookie 30 дней.",https://www.recime.app/blog/myfitnesspal-affiliate-program/,"Фитнес/здоровье — трекер питания и тренировок (подписка Premium)",не найдено,"не найдено (управляется Acceleration Partners, сеть Pepperjam)",2026-09-21,"признак recurring/subscription подтверждён по типу продукта, но сама выплата похожа на flat CPA, а не % от recurring — требует уточнения у аналитика; официальный сайт myfitnesspal.com не проверен напрямую (egress)",new,,,,,
Strava Affiliate Program (Verified/Pro),https://business.strava.com/subscription-partnerships,US/Global (доступно только Verified и Pro атлетам на Strava),CPA/RevShare (не уточнено; recurring на подписку не подтверждён),"Точный % или $ не раскрыт в открытых источниках. Условие участия: нужен статус Verified или Pro на Strava, далее подаётся заявка на affiliate-доступ; при подписке рефералов по ссылке даётся скидка подписчику и комиссия партнёру.","https://verified.strava.com/monetize; https://www.affiliateprogramdb.com/brands/strava-affiliate-program/","Фитнес — трекер тренировок (подписка Strava Premium/Pro)",не найдено,не найдено,2026-09-21,"программа закрытая (только для Verified/Pro атлетов) — не подойдёт обычному партнёру без статуса; ставка не найдена; egress блокирует business.strava.com/verified.strava.com для прямой проверки",new,,,,,
