program,credibility_score,risk_flags,analyst_verdict,decision,status
SONOFF (ITEAD) Affiliate Program,52,"физтовар CPS без recurring; дешёвый AOV (свитчи $5-20) => мало $/продажа даже при 10-15%; cookie 30д; ставка не подтв. офиц. (egress); нет независимых пруфов выплат бренда",сомнительна,в резерв,reserve
Aqara Affiliate Programme (Awin UK; US-программа не подтверждена),38,"US: денежной CPS-партнёрки НЕТ — только реферальный купон (10% скидка), это не аффилиат-доход; CPS есть лишь UK/Awin, ставка скрыта за логином; не соответствует региону US/Global по CPS",отклонить,отклонена,rejected
Shelly Affiliate Programme,46,"низкая ставка 4-7%; отдельной подтверждённой US-программы на офиц. сайте нет (риск по региону); физтовар CPS; данные из вторичных источников; нет пруфов выплат",сомнительна,в резерв,reserve
Govee Affiliate Program,67,"физтовар CPS без recurring; ставка 5-15% из агрегаторов, не подтв. офиц. (egress); AOV умеренный (декор/освещение); cookie 30д; сеть Impact надёжна, но независимых пруфов выплат бренда нет",перспективна,тестировать,selected
Meross Affiliate Program,50,"физтовар CPS; дешёвый AOV => низкий $/продажа; ставка расходится (8% Awin vs 1-4% др. сети); холд 60-180д (Affi.io); нет независимых пруфов выплат",сомнительна,в резерв,reserve
SwitchBot Affiliate Program,67,"физтовар CPS без recurring; ставка 6-15% сильно расходится по сетям (заявлено до 20%); AOV ~$250 и cookie 60д — лучший EV в нише (плюс); нет независимых пруфов выплат бренда",перспективна,тестировать,selected
Reolink Affiliate Program,66,"физтовар CPS без recurring; ставка 5-20% tiered (20% только при объёме/переговорах); AOV $150-300 (мультикам-бандлы) — сильный EV; CJ/ShareASale надёжны; $50 мин; нет независимых пруфов выплат",перспективна,тестировать,selected
eufy (Anker) Affiliate Program,66,"физтовар CPS без recurring; ставка 7-13% сильно расходится по гео (US 8% vs Nordics до 15-20%); высокий AOV (камеры/робопылесосы); Impact; жёсткие ограничения (no PPC/paid social/email); egress не подтв. офиц.",перспективна,тестировать,selected
Philips Hue Affiliate Programme,62,"физтовар CPS; ставка расходится (7% офиц. vs 4-6% сети); высокий AOV (Hue-киты $100-200) — плюс; крупный бренд; cookie 30д; egress не подтв. офиц.; нет независимых пруфов выплат",перспективна,тестировать,selected
TP-Link Tapo Affiliate Program,54,"физтовар CPS; дешёвый AOV (розетки/камеры $15-40) => низкий $/продажа несмотря на 10%; быстрая выплата ~20д и cookie 45д, без минималки — плюсы; egress не подтв. офиц.; уступает лидерам по EV",сомнительна,в резерв,reserve
Tuya / Smart Life — официальная B2C партнёрская программа НЕ НАЙДЕНА,28,"КРИТ: официальной B2C-партнёрки Tuya Inc. нет; единственная ссылка — сторонний OEM-магазин на OpenCart (shop.tuyaoem.com), связь с Tuya не подтверждена; B2B white-label платформа, а не бренд для конечного покупателя",отклонить,отклонена,rejected
Wyze Insiders Affiliate Program,48,"физтовар CPS; только US (комиссии лишь на wyze.com); ставка до 10%, тарифная сетка публично не раскрыта (непрозрачно); cookie не публикуется до регистрации; Pepperjam/Ascend; recurring по Cam Plus не подтв.",сомнительна,в резерв,reserve
Lorex Technology Affiliate Program,40,"ставка не подтв. офиц., сильный разброс по агрегаторам (2-7.2%) => низкая достоверность данных; физтовар CPS; egress не подтв.; не путать с B2B Lorex for Business; мало надёжных данных",мало данных,в резерв,reserve
Arlo Affiliate Program,52,"физтовар CPS; ставка низкая и расходится (5-7%); recurring по Arlo Secure НЕ подтв. (гипотеза с форума); CJ надёжен, cookie ~30д; крупный бренд; egress не подтв. офиц.; по EV уступает Reolink",сомнительна,в резерв,reserve
Ring — отдельная B2C партнёрская программа не найдена (только Amazon Associates),32,"КРИТ: собственной B2C-аффилиатки Ring нет; продвижение только через низкодоходный Amazon Associates (~1-3%, cookie 24ч); ring.com/dealer — B2B-реселлер, не аффилиат; recurring по Ring Protect не найден",отклонить,отклонена,rejected
Blink (Amazon) Affiliate — активность программы под вопросом,30,"КРИТ: статус программы под вопросом — крупные сети (Awin/Pepperjam/Conversant/Rakuten) не показывают активной партнёрки (Knoji); % ставка не найдена; вероятно неактивна/устарела; recurring по подписке не найден",отклонить,отклонена,rejected
ANNKE Affiliate Program,50,"физтовар CPS; заявленный recurring 'lifetime' по облачным подпискам НЕ подтверждён (egress, только сниппет); ставка до 10% на хардвер; ShareASale/CJ надёжны; видео, AOV средний; recurring требует проверки перед приоритетом",сомнительна,в резерв,reserve
Ubiquiti (UniFi / UniFi Protect) Affiliate Program,54,"физтовар CPS tiered 5-10%; высокий AOV (сетевое оборуд. $200-500+) — плюс, но $100 мин (высокий барьер); UniFi Protect (видео) лишь часть линейки, camera-specific ставки нет; in-house PostAffiliatePro; cookie ~30д",перспективна,в резерв,reserve
MOES Affiliate Program,40,"нет ни одной проверяемой цифры (ставка/cookie/минималка/способы выплат) — ни офиц. (egress), ни во вторичных; условия только после заявки на email; невозможно оценить экономику до регистрации",мало данных,в резерв,reserve
Sengled Club (возможна программа лояльности/рефералов, а не классический affiliate),40,"неоднозначно: affiliate или loyalty/referral на платформе UpPromote — природа программы не подтверждена; условия (%/cookie/минималка) не раскрыты; невозможно оценить до прямой проверки",мало данных,в резерв,reserve
ThirdReality Affiliate Program,44,"физтовар CPS; ставка 8% из агрегированного обзора, офиц. не подтв. (egress); малоизвестный бренд (меньше доверия/органич. трафика); cookie ~30д, last-click; мало независимых данных о выплатах",сомнительна,в резерв,reserve
