program,credibility_score,risk_flags,analyst_verdict,decision,status
Coinbase Affiliate Program,74,"US-легально (Coinbase — американская биржа, регулируется в US); внешне подтверждены надёжные выплаты через Impact (17 числа мес., мин. $10); 50% от торговых комиссий только первые 3 мес (не lifetime); YMYL/крипто — жёсткие ограничения на контент (без обещаний дохода); аппрув ручной и селективный (новичков с малым трафиком отклоняют); собств. факта выплат в revenue.csv пока нет",перспективна,подтверждена,selected
Kraken Affiliate Program,76,"US-легально (Kraken — американская биржа); Impact-версия 20% lifetime от торговых комиссий (кап $1000/клиент), cookie 180 дн, выплаты PayPal/локальная валюта; репутация ""самая надёжная крипто-партнёрка"", положительные отзывы аффилиатов; 2 параллельные программы (in-house USDC vs Impact) — использовать Impact для US; YMYL/крипто-ограничения на контент",перспективна,подтверждена,selected
Ledger Affiliate Program,74,"физический товар (аппаратный кошелёк) => сущест. НИЖЕ YMYL/регуляторный риск, чем у бирж/брокеров — легче легально лить на US; бренд с 2014, репутация надёжна; 10% от net-суммы, еженедельные выплаты, мин. EUR50; выплаты ТОЛЬКО в крипте (BTC/ETH/SOL) — валютный риск для аффилиата; ставка из вторичных источников",перспективна,подтверждена,selected
Webull Affiliate Program,70,"US-брокер (регулируется SEC/FINRA) — легально для US-трафика; $20-70 за профинансированный счёт, еженедельные выплаты (direct deposit/PayPal/wire), конверсия при депозите $1+; внешне подтверждена надёжность выплат для US-трафика; YMYL/брокеридж — ограничения на контент; формулировки ставок (25%/75%) в источниках расходятся => риск неверных ожиданий",перспективна,тестировать,selected
eToro Partners,66,"eToro USA доступна US-клиентам (акции/ETF через eToro USA Securities — FINRA/SIPC; крипто через eToro USA LLC — без SIPC/FDIC); партнёрка eToro USA открыта для US => легально при использовании US-программы; высокий CPA, но условия US-программы отличаются от международной ($250 CPA — международный тир, не US); YMYL/регуляторный риск; KYC + мин. торговый спред для квалификации; ставки сильно расходятся между источниками",перспективна,тестировать,selected
Wise Affiliate/Partner Program,68,"US-доступна, легально; low-risk финтех (переводы, не инвестиции); cookie 365 дн (самый длинный в нише — плюс); Partnerize, надёжные выплаты; НО низкий CPA (GBP10 personal / GBP50 business) => слабая экономика на клик; квалификация требует первого кросс-валютного перевода реферала; уступает по EV крипто/брокеридж-лидерам ниши",перспективна,в резерв,reserve
Payoneer Affiliate Program,62,"US-доступна, легально; low-risk B2B/фрилансер-платежи (ниже YMYL); НО самый низкий CPA в наборе (~$25); жёсткая квалификация (реферал должен получить платежи от $1000) => низкая конверсия в оплату; расхождение по формулировке минималки; слабая экономика для старта",сомнительна,в резерв,reserve
Revolut Affiliate Program,58,"Revolut работает в US; программа через Impact (retail GBP2-20 / business до GBP500); НО множественные отзывы о ЗАДЕРЖКАХ выплат, низком проценте аппрува и проблемах со связью — риск надёжности; квалификация требует KYC + пополнения счёта реферала; финтех-KYC снижает конверсию; business-тир интересен, но надёжность под вопросом",сомнительна,в резерв,reserve
KuCoin Affiliate Program,20,"КРИТ РЕГУЛЯТОРНЫЙ ФЛАГ: KuCoin ПОЖИЗНЕННО забанен в US (consent order CFTC, март 2026; ранее уход с 23.01.2025, штрафы >$297-320 млн, DOJ); US в списке Restricted Locations; продвижение на US-трафик невозможно и может трактоваться как содействие обходу комплаенса — нельзя легально лить на US",отклонить,отклонена,rejected
Binance Affiliate Program,25,"КРИТ ГЕО-ФЛАГ: Binance.com гео-блокирует US (KYC требует не-US резидентства); правила партнёрки ЯВНО запрещают продвижение в US (и Сингапуре, Китае, Малайзии, Онтарио и др.); Binance.US — отдельная сущность/партнёрка с урезанным продуктом; международную .com-программу нельзя лить на US-трафик",отклонить,отклонена,rejected
Trading 212 Affiliate Programme,22,"КРИТ ГЕО-ФЛАГ: Trading 212 НЕ работает в US (не авторизован; бизнес-модель на CFD, запрещённых рознице US по правилам CFTC/SEC); привлечь US-клиента невозможно => CPA не сработает на US-трафик; ставки в источниках сильно расходятся",отклонить,отклонена,rejected
Plus500 Affiliate Program (500Affiliates),28,"КРИТ ГЕО-ФЛАГ: основной продукт Plus500 — CFD, запрещённые рознице US (Securities/CFTC); международную CFD-партнёрку (500Affiliates) нельзя лить на US-розницу; для US есть отдельный Plus500US (только фьючерсы, FCM/NFA) с иными, не найденными условиями партнёрки — не путать; CPA $800 — верхняя граница, реальная ниже",отклонить,отклонена,rejected
Green Man Gaming Affiliate Program,70,"ЛЕГИТ-магазин: ключи закупаются напрямую у издателей/разработчиков (НЕ серый рынок) — Trustpilot 4.5; надёжные ежемес. выплаты PayPal/банк, мин. $50, cookie 30 дн; 5% новому / 2% постоянному, 10% на бандлы; US-доступна; разовые CPS (без recurring) => скромная экономика, но чистая репутация",перспективна,тестировать,selected
Humble Bundle Affiliate / Partner Program (via Impact),68,"ЛЕГИТ, репутабельный бренд (бандлы с благотворительностью), через Impact; ~8-10% (наиболее цитируемо), низкий порог выплаты; US-доступна; разовые CPS без recurring; правила ЗАПРЕЩАЮТ использовать товарные знаки Humble в промо; cookie в источниках расходится (7 vs 30 дн); единой офиц. ставки нет (разброс 4-15%)",перспективна,тестировать,selected
Razer Affiliate Program,66,"ЛЕГИТ бренд периферии/железа; до 15% по офиц. заголовку (детализация: ~3% периферия, $5/unit системы, 10% Respawn); участие бесплатное; US-доступна; разовые CPS за железо (без recurring); длинный цикл lock/выплаты (~месяц+ до фиксации, +23 дн до выплаты); детализация ставок из вторичных источников",перспективна,тестировать,selected
Fanatical Affiliate Program (via Awin),58,"ЛЕГИТ-магазин (офиц. ключи), через Awin; НО низкая ставка 2% по офиц. FAQ (агрегаторы завышают до 5-12% — не подтверждено); US-доступна; разовые CPS без recurring; слабая экономика на клик => уступает Green Man Gaming/Humble по EV",сомнительна,в резерв,reserve
NVIDIA Affiliate Program (охватывает GeForce NOW),58,"ЛЕГИТ бренд, через Rakuten; RECURRING для GeForce NOW НЕ ПОДТВЕРЖДЁН — найденные данные описывают разовую CPS ~5%, не помесячный rev-share за подписку; cookie 30 дн; US-доступна; при разовых 5% экономика скромная; офиц. страница не проверена (egress)",сомнительна,в резерв,reserve
Xbox Game Pass / Microsoft Store Affiliate Program (через CJ Affiliate / FlexOffers / Rakuten),55,"ЛЕГИТ бренд, но RECURRING НЕ ПОДТВЕРЖДЁН — разовый фиксированный CPL за оформление подписки ($1.30-1.50) либо 2% CPS, а не помесячный rev-share; очень низкая ценность за конверсию; несколько сетей с разными ставками; единой офиц. таблицы нет",сомнительна,в резерв,reserve
Ubisoft Store / Ubisoft+ Affiliate Program (через Impact) и Ubisoft Creator Codes,55,"ЛЕГИТ бренд; RECURRING для Ubisoft+/Rocksmith+ НЕ ПОДТВЕРЖДЁН — разовая фикс. CPA за оформление подписки ($0.75 Ubisoft+ / $1-10 Rocksmith+), не помесячно; онлайн-продажи 3%; Creator Codes 7% — ОТДЕЛЬНАЯ программа только для авторов контента; ставки различаются между сетями; низкая ценность за конверсию",сомнительна,в резерв,reserve
Logitech G Affiliate / Partner Program,60,"ЛЕГИТ бренд железа; ~5% базовая, но данные противоречивы (7.5% при cookie 1 день / 4%+ до 10% на игровые товары); несколько сетей (Impact/Awin/Sovrn) с разными условиями; cookie в части сетей всего 1 день (крит. коротко) => высокий риск потери атрибуции; разовые CPS без recurring; US-доступна",сомнительна,в резерв,reserve
CDKeys Affiliate Program,50,"РЕПУТАЦИОННЫЙ РИСК: серый рынок ключей (хоть и ближе к прямому ритейлеру, владеет частью стока) — жалобы на использованные/невалидные ключи, риск отзыва ключей и реверсов при chargeback; 5% новому / 2% постоянному; несколько сетей с разными ставками; продвижение под своим именем несёт репутационный риск",сомнительна,в резерв,reserve
Instant Gaming Affiliate Program,48,"РЕПУТАЦИОННЫЙ РИСК: серый key-ресейлер; низкая ставка ~3%; cookie в одном источнике всего 24 часа (крит. коротко); низкие цены магазина => мизерная база для % комиссии; офиц. страница не проверена (egress); слабая экономика + репутационный риск",сомнительна,в резерв,reserve
Elgato Partnership / Affiliate Program,45,"ЛЕГИТ бренд (стриминг-железо), но точная ставка комиссии НЕ НАЙДЕНА ни на офиц. странице, ни в агрегаторах — невозможно оценить экономику/EV; порог выплаты не найден; разовые CPS без recurring; недостаточно данных для решения о вложении усилий",мало данных,в резерв,reserve
Kinguin Mafia Affiliate Program,35,"КРИТ РЕПУТАЦИОННЫЙ ФЛАГ: Kinguin — маркетплейс ключей от сторонних продавцов (серый рынок/OEM), известны массовые жалобы на невалидные/забаненные ключи, chargeback-фрод и revoke ключей, купленных с краденых карт; продвижение под своим брендом = прямой репутационный ущерб; buyer-protection платный и не гарантирует решения",отклонить,отклонена,rejected
