program,url,region,payout_model,rate_raw,rate_source_url,niche,min_payout,payout_methods,source_date,scout_flags,status,credibility_score,risk_flags,analyst_verdict,decision,result_class
eToro Partners,https://etoropartners.com/,"Global (US частично ограничено — eToro USA доступен, но с др. условиями)","CPA (flat, tiered по гео) или RevShare (выбор партнёра)","CPA до $250 (Tier 1 гео вроде US/UK/Германия/Австралия) / $200 (Tier 2) / $100 (Tier 3) за квалифицированного трейдера; отдельные вторичные источники упоминают диапазон $350-400 для Tier 1 и $200-300 для Tier 2 (расхождение между источниками); альтернативно RevShare до 25% от чистого торгового дохода","https://wecantrack.com/programs/etoro-affiliate-program/; https://dollarbreak.co.ke/etoro-affiliate-program/; https://help.etoro.com/s/article/what-are-etoro-partners-commission-plans-by-default?language=en_GB",Финтех,"$100 (eWallet), $500 (банк. перевод) — по данным вторичных источников, не подтверждено офиц.","eWallet (PayPal и т.п.), банковский перевод",2026-09-21,"ставки сильно расходятся между вторичными источниками (agg. vs help.etoro.com); официальный домен egress мог быть недоступен напрямую","new",,"регуляторный риск: eToro USA работает по отдельной лицензии/условиям, отличным от международного eToro; квалификация трейдера требует KYC + мин. торговый спред ~$10; cookie 60 дней (вторичный источник)",,,
Wise Affiliate/Partner Program,https://wise.com/gb/blog/affiliate-onboarding-guide,Global (incl. US),CPA (flat, по типу клиента),"£10 CPA за нового personal-клиента, £50 CPA за нового business-клиента (за первый успешный кросс-валютный перевод); бонус за объём при 50+ рефералов/месяц","https://wise.com/gb/blog/affiliate-onboarding-guide; https://referralrocket.io/affiliate-program/wise_aC",Финтех,"~£20/€20/$30 (по данным вторичных источников, точная цифра варьируется по валюте)","банковский перевод, Wise-аккаунт",2026-09-21,"ставки продублированы на офиц. блоге Wise (это плюс к достоверности), но точная минималка выплаты — из агрегатора","new",,"без явных гео-запретов найдено; регуляторного риска ниже, чем у брокеров/крипты, т.к. это money transfer, не инвестиции; cookie без срока истечения на первую конверсию (заявлено)",,,
Revolut Affiliate Program,https://www.revolut.com/en-US/become-a-revolut-affiliate/,Global (incl. US, отдельные условия по регионам),CPA (flat, tiered по плану/типу клиента),"Retail: £2-£20 в зависимости от активированного плана; Business: до £500 за реферала, прошедшего онбординг и оплатившего первую подписку; точные ставки не публикуются, выдаются после регистрации в партнёрке (через Impact)","https://uppromote.com/affiliate-directory/revolut/; https://www.referly.so/affiliate-programs/revolut",Финтех,"$10 (порог выплаты через Impact, по вторичному источнику)","через сеть Impact, банковский перевод (детали не найдены)",2026-09-21,"офиц. страница Revolut не публикует ставки — точные цифры взяты из вторичных источников (Impact-агрегаторы); подтвердить только после регистрации в программе","new",,"KYC обязателен для квалификации реферала; условия по регионам могут отличаться (не найдено разбивки по странам)",,,
Coinbase Affiliate Program,https://www.coinbase.com/affiliates,Global (искл. ограниченные рынки, гео-список не найден полностью),RevShare (recurring, ограничено по времени),"50% от торговых комиссий реферала в течение первых 3 месяцев после регистрации (не lifetime)","https://wecantrack.com/programs/coinbase-affiliate-program/; https://affiliatepicker.com/programs/coinbase/",Финтех / криптовалюта,$10,"прямой депозит, PayPal (через Impact.com)",2026-09-21,"официальный домен Coinbase не подтверждён напрямую (egress); данные из вторичных источников совпадают у нескольких агрегаторов","new",,"КРИПТО-ВЕРТИКАЛЬ: жёсткая регуляция (SEC/CFTC в США), гео-ограничения не детализированы источниками (формулировка ""restricted markets excluded"", список не найден); cookie 30 дней; комиссия ограничена 3 месяцами — ниже LTV, чем заявлено конкурентами",,,
Binance Affiliate Program,https://www.binance.com/en/activity/affiliate,"Global, ЗАПРЕЩЕНО в США, Канаде, Нидерландах и др. (Binance.com недоступен в США — есть отдельный Binance.US со своей партнёркой)",RevShare (tiered, quarterly review),"41% от торговых комиссий на Spot (базовый уровень для одобренных партнёров), до 50% при привлечении 500+ активных трейдеров; 30% на Futures; ежемесячные бонусы до $72000 в зависимости от объёма","https://www.creator-hero.com/blog/binance-affiliate-program-in-depth-review-pros-and-cons; https://getlasso.co/affiliate/binance/",Финтех / криптовалюта,"не найдено",не найдено,2026-09-21,"официальный домен Binance не подтверждён напрямую (egress); ставки из вторичных источников совпадают в основных чертах","new",,"ВАЖНОЕ ГЕО-ОГРАНИЧЕНИЕ: Binance.com заблокирован для пользователей США, Канады, Нидерландов, санкционных стран (Иран, СК КНДР, Сирия, Куба); в 2026 приостановил сервис в ЕС (не получил лицензию MiCA); для US-аудитории нужен отдельный Binance.US с другими условиями партнёрки — трафик из США на Binance.com не конвертируется; futures-комиссии сгорают через 12 мес.",,,
Kraken Affiliate Program,https://www.kraken.com/affiliate,"Global, ИСКЛЮЧЕНЫ ЕС, США, Канада (по данным одного источника — противоречиво с офиц. заявлением о доступности в США)","RevShare (в т.ч. lifetime) либо CPA (Krak-карта)","До 50% revenue share от торговых комиссий на Spot/Futures (in-house топ-партнёры); 40% revenue share для глобальных партнёров (кроме ЕС/США/Канады — по вторичному источнику); 20% lifetime commission через Impact.com как альтернативная модель; $40 CPA за активацию карты Krak","https://blog.ueex.com/kraken-exchange-affiliate-program/; https://affcaptain.com/affiliate-program/kraken-affiliate-program/",Финтех / криптовалюта,"не найдено (выплаты в USDC на аккаунт Kraken, порог не найден)","USDC на аккаунт Kraken (in-house программа); через Impact.com (альтернативная программа)",2026-09-21,"ПРОТИВОРЕЧИЕ между источниками: часть указывает на исключение США из in-house партнёрки, другие подразумевают доступность в США — требуется подтверждение на офиц. сайте (egress блокировал прямую проверку); ставки различаются между in-house и Impact-версией программы","new",,"есть минимум 2 параллельные программы (in-house и через Impact) с разными условиями — легко перепутать; регуляторный риск крипто-вертикали в целом",,,
KuCoin Affiliate Program,https://www.kucoin.com/affiliate,"Global, США ЗАПРЕЩЕНЫ (KuCoin прекратил обслуживание пользователей США с 23 янв. 2025 после исков CFTC/регуляторов)","RevShare (tiered, растёт с объёмом)","Базовая ставка 15% для новых партнёров, LV1 — 40%, LV2 — 50%, LV3 — до 60% от торговых комиссий рефералов; доп. 5%+ с заработка суб-партнёров","https://www.kucoin.com/affiliate; https://www.cryptowinrate.com/kucoin-affiliate-program-review/",Финтех / криптовалюта,не найдено,не найдено,2026-09-21,"тарифная сетка подтверждена на офиц. announcement-странице KuCoin — более надёжный источник, чем чистые агрегаторы","new",,"КРИТИЧЕСКИЙ РЕГУЛЯТОРНЫЙ РИСК: KuCoin признан судом виновным и заплатил штрафы >$320 млн в США/Канаде (иск CFTC, дело в Южном округе Нью-Йорка); с 23.01.2025 США официально в списке Restricted Locations наряду с Сингапуром, материковым Китаем, Гонконгом, Малайзией, частью Канады (Онтарио, Британская Колумбия), Францией, Нидерландами; продвижение для US-аудитории не просто не сработает, а может считаться содействием обходу санкций/комплаенса — использовать с крайней осторожностью для US-трафика",,,
Webull Affiliate Program,https://act.webullapp.com/mktb/partners/individual,US (основной рынок) + отдельные локализации (UK и др.),"CPA (flat, за фондирование счёта) + доля от сделок",$20-$70 за профинансированный счёт (варьируется по промо-периоду и уровню фондирования); 25% за регистрацию и до 75% на комиссии со сделок (по вторичным источникам противоречиво сформулировано); иногда бонус в виде акций на сумму до $1400 вместо/вместе с деньгами,"https://commissiondex.com/programs/webull/; https://www.bloggingtips.com/affiliate-programs/webull",Финтех / брокеридж,не найдено,не найдено,2026-09-21,"формулировки ставок сильно расходятся между источниками (25%/75% от чего именно — не уточнено); официальный домен act.webullapp.com не проверен напрямую через egress","new",,"брокеридж — YMYL/регуляторная вертикаль (SEC/FINRA в США); неясность формулировки ставок повышает риск неверных ожиданий у промоутера",,,
Trading 212 Affiliate Programme,https://helpcentre.trading212.com/hc/en-us/articles/360008095077-Affiliates-Programme,"Global (гл. образом Европа/UK; доступность в США не найдена — вероятно ограничена, т.к. Trading 212 не работает в США)",CPA (flat, tiered по типу счёта),"До EUR 100 CPA за квалифицированного нового инвестора (стандартная ставка); $1000 за трейдера, пополнившего leveraged CFD-счёт на $1000+; $100 за пополнение non-leveraged equity счёта на $600+; тарифные уровни Start Up / Grow Big / Go Expert с ростом ставок","https://top10stockbroker.com/business-partner/trading-212-partner/; https://affcaptain.com/affiliate-program/trading212-affiliate/",Финтех / брокеридж,EUR 50 (банковский перевод),банковский перевод,2026-09-21,"цифры сильно расходятся между источниками ($1000 за CFD-счёт vs EUR 100 стандартный CPA) — вероятно, это разные тиры/типы счетов, не до конца ясно из вторичных источников; офиц. helpcentre подтверждает только факт существования программы, не ставки","new",,"Trading 212 не предоставляет услуги в США (CFD запрещены для розничных US-инвесторов) — фактически недоступна для монетизации US-трафика; требуется минимальный депозит $100 для квалификации клиента",,,
Ledger Affiliate Program,https://affiliate.ledger.com/ai-builders,Global (incl. US),CPS (% от суммы продажи),10% от чистой суммы продажи (без учёта НДС и доставки); точная ставка подтверждается в welcome pack после одобрения (может отличаться по тиру),"https://setaffiliatebusiness.com/affiliate-program-directory/ledger-affiliate-program-review/; https://affsonar.com/programs/ledger/",Финтех / крипто-хардвер (аппаратные кошельки),не найдено,"выплаты в криптовалюте, еженедельно по понедельникам в полдень CET (по вторичным источникам)",2026-09-21,"это физический товар (не торговая/инвестиционная услуга), поэтому регуляторный риск ниже, чем у бирж/брокеров; ставка из нескольких независимых вторичных источников совпадает — умеренная достоверность","new",,"ниже YMYL-риск по сравнению с остальными в списке, т.к. не является финансовой услугой как таковой (хранение, а не торговля/инвестиции); тем не менее связано с криптовалютой — репутационный риск при потере ключей у аудитории",,,
