program,credibility_score,risk_flags,analyst_verdict,decision,status
WHOOP Affiliate Program,63,"ставка/CPA не раскрыта публично (не найдено) => EV непредсказуем; работает через Impact/Partnerize/Sovrn/Skimlinks (надёжные сети, платят) => сам факт выплат правдоподобен; recurring не подтверждён; офиц. домен недоступен (egress)",перспективна,тестировать,selected
Noom Affiliate Program,74,"YMYL (похудение): в контенте запрещены обещания результата/мед. заявления; реверс комиссии при возврате/рефанде клиента (подтверждено политикой); фактическая CPA из агрегаторов расходится ($10-15 trial vs $30-60 sale), не с офиц. сайта (egress); НО управляется Impact/ShareASale (надёжно, $100 мин, месячные выплаты), признан топ-оффером ниши; жалоб на невыплаты/шейвинг не найдено",перспективна,тестировать,selected
Future (Future.co) Coaching Affiliate Program,70,"cookie/окно атрибуции всего 24 ч (очень коротко) => риск потери конверсий; $75 flat CPA подтверждается только вторичным агрегатором (linkclicky), не офиц. (egress); премиум-продукт (1-на-1 коучинг ~$149/мес) оправдывает высокий CPA; Impact-сеть надёжна; не путать с 'Future Fitness Training'",перспективна,тестировать,selected
Fitbod Affiliate Program,35,"условия НЕ РАСКРЫТЫ (модель/ставка/минималка = не найдено ни в одном источнике); сеть-трекер не подтверждена; egress блокирует fitbod.me и агрегаторы => проверить нечем; недостаточно данных для запуска",мало данных,отклонена,rejected
Centr (Chris Hemsworth) — Centr Strength Society,42,"ставка НЕ РАСКРЫТА (CPA/RevShare не уточнено, только 'earn with every sign-up'); на Awin (надёжная сеть) + реальный бренд (Chris Hemsworth) => база доверия есть; возможен двойник-листинг у Adscend Media (iOS US) => риск путаницы; Awin-профиль недоступен (egress); нужна верификация условий в кабинете",мало данных,в резерв,reserve
Freeletics Affiliate Program (Awin),40,"ставка НЕ РАСКРЫТА ('разные тиры под партнёров'); листинг преимущественно EU ('Brand Partnerships EU'), распространение на US НЕ подтверждено => риск нерелевантности региону; Awin надёжен; офиц. help-центр недоступен (egress); нужна проверка US-доступа и ставки",мало данных,в резерв,reserve
Ladder (joinladder.com),30,"КРИТ: полноценной денежной affiliate-программы нет — публично только referral 'Refer a friend' (скидки друзьям, не комиссия); присоединиться как платному партнёру нельзя; возможна путаница с др. брендами 'Ladder' (страхование/спортпит) — это не они",отклонить,отклонена,rejected
Caliber (Online Personal Training) Affiliate Program,38,"ставка НЕ РАСКРЫТА (CPA/RevShare не уточнено); FlexOffers указывает, что листинг сейчас НЕ активен => под вопросом сама возможность вступить; премиум 1-на-1 коучинг (высокий чек — потенциальный плюс), но данных для оценки нет",мало данных,отклонена,rejected
MyFitnessPal Premium Affiliate Program,68,"низкая выплата (до $20 за годовую Premium, по 'Hub'-версии $5/$2) => слабый EV за конверсию; flat CPA, не % от recurring; НО управляется Acceleration Partners (сеть Pepperjam — профессиональная, надёжные выплаты, ACH/PayPal/check), низкий мин. $25; реальный массовый бренд, высокая конверсия",перспективна,тестировать,selected
Strava Affiliate Program (Verified/Pro),34,"КРИТ доступности: программа закрытая — только для атлетов со статусом Verified/Pro на Strava; обычный партнёр без статуса вступить не может; ставка не раскрыта; egress блокирует проверку",отклонить,отклонена,rejected
Oura Ring Affiliate/Partnership Program,56,"низкая ставка (~2.2% или ~$10 flat) при разовой продаже устройства (не подписка) => слабая экономика, уступает CPA-лидерам ниши; длинное окно выплат (44-120 дн через 37X/Sovrn); Impact/Sovrn надёжны, бренд премиальный; Refer-a-Friend (не денежная) — не путать",сомнительна,в резерв,reserve
Gymshark Affiliate Program,60,"разовая покупка одежды (не подписка) => ниже приоритет vs recurring; ставка 4-10% и cookie (7/15/30 дн) сильно расходятся между источниками => низкая прозрачность; НО программа реально платит (мин. $50, выплаты каждые 30 дн), огромная узнаваемость бренда и высокая конверсия; сопутствующий нише товар",сомнительна,в резерв,reserve
