program,channel,period,clicks,conversions,approved,paid,spend,net_profit,roi,payout_reliability,result_class
Semrush,SEO-блог (сравнительные статьи),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Semrush,LinkedIn (органика),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
HubSpot,SEO-блог (сравнения CRM),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
HubSpot,Email nurture-серия,2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
NordVPN,YouTube (обзоры/сравнения),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
NordVPN,SEO-блог (обзоры/сравнения),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Webflow,YouTube (обзоры/туториалы),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Webflow,SEO-блог (сравнения/обзоры),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Shopify,YouTube (дропшиппинг-туториалы),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Shopify,SEO-блог (обзоры/сравнения),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Coursera,SEO-блог (обзоры/сравнения курсов),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Coursera,YouTube (обзоры курсов/сертификатов),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Thinkific,SEO-блог (сравнения платформ для курсов),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
Thinkific,YouTube (обзор/туториал по настройке школы),2026-09,0,0,0,0,0,0,,данных о выплатах пока нет,рано судить
